id,company_name,company_type,website,aum_crores,last_year_revenue,is_listed,stock_symbol,primary_loan_segments,primary_product,product_types,hq_location,hq_state,operating_states,operating_intensity,pan_india,rbi_category,rbi_registration_number,established_year,employee_count,branch_count,phone,email,quality_score,data_source,extraction_status,error,created_at,rbi_verified,rbi_status,rbi_merge_note,parent_bank,reg_validation_tier,phone_valid,email_valid,website_entity_match,financial_source,contact_source,geo_source,confidence_score,onboarding_tier,risk_flags,extraction_version,schema_version,validation_version
462,Punjab National Bank,PSU Bank,https://www.pnbindia.in,,,True,PNB,"[""Agriculture Loan"", ""Consumer Durable Loan"", ""Credit Card"", ""Education Loan"", ""Gold Loan"", ""Home Loan"", ""Loan Against Property"", ""MSME Loan"", ""Personal Loan"", ""Rural Loan"", ""Supply Chain Finance"", ""Two Wheeler Loan"", ""Vehicle Loan""]",Banking Services,"[""Agriculture Loan"", ""Consumer Durable Loan"", ""Credit Card"", ""Education Loan"", ""Gold Loan"", ""Home Loan"", ""Loan Against Property"", ""MSME Loan"", ""Personal Loan"", ""Rural Loan"", ""Supply Chain Finance"", ""Two Wheeler Loan"", ""Vehicle Loan""]","New Delhi, Delhi",Delhi,"[""Andhra Pradesh"", ""Arunachal Pradesh"", ""Assam"", ""Bihar"", ""Chhattisgarh"", ""Goa"", ""Gujarat"", ""Haryana"", ""Himachal Pradesh"", ""Jharkhand"", ""Karnataka"", ""Kerala"", ""Madhya Pradesh"", ""Maharashtra"", ""Manipur"", ""Meghalaya"", ""Mizoram"", ""Nagaland"", ""Odisha"", ""Punjab"", ""Rajasthan"", ""Sikkim"", ""Tamil Nadu"", ""Telangana"", ""Tripura"", ""Uttar Pradesh"", ""Uttarakhand"", ""West Bengal"", ""Delhi"", ""Jammu & Kashmir"", ""Ladakh"", ""Puducherry"", ""Chandigarh"", ""Dadra and Nagar Haveli"", ""Lakshadweep"", ""Andaman and Nicobar Islands""]",Pan India,True,PSU Bank,PORATE,1894,102958,,18001802222,,0.9,scraper+gemini,success,,2026-04-03T10:18:30.653002,False,active,,,format_only,False,False,False,none,scraper_high,scraper_high,0.05,provisional_lender,"[""no_contact"", ""weak_rbi_validation""]",v4.0,bank_v2,v5
463,"Punjab & Sind Bank, Bank",PSU Bank,https://www.psbindia.com/,,,True,PSB,"[""Agriculture Loan"", ""Business Loan"", ""Education Loan"", ""Gold Loan"", ""Home Loan"", ""Loan Against Property"", ""MSME Loan"", ""Personal Loan"", ""Rural Loan"", ""Vehicle Loan""]",Banking Services,"[""Agriculture Loan"", ""Business Loan"", ""Education Loan"", ""Gold Loan"", ""Home Loan"", ""Loan Against Property"", ""MSME Loan"", ""Personal Loan"", ""Rural Loan"", ""Vehicle Loan""]","New Delhi, Delhi",Delhi,"[""Andhra Pradesh"", ""Arunachal Pradesh"", ""Assam"", ""Bihar"", ""Chhattisgarh"", ""Goa"", ""Gujarat"", ""Haryana"", ""Himachal Pradesh"", ""Jharkhand"", ""Karnataka"", ""Kerala"", ""Madhya Pradesh"", ""Maharashtra"", ""Manipur"", ""Meghalaya"", ""Mizoram"", ""Nagaland"", ""Odisha"", ""Punjab"", ""Rajasthan"", ""Sikkim"", ""Tamil Nadu"", ""Telangana"", ""Tripura"", ""Uttar Pradesh"", ""Uttarakhand"", ""West Bengal"", ""Delhi"", ""Jammu & Kashmir"", ""Ladakh"", ""Puducherry"", ""Chandigarh"", ""Dadra and Nagar Haveli"", ""Lakshadweep"", ""Andaman and Nicobar Islands""]",Pan India,True,PSU Bank,,1908,8297,,,,0.7,scraper+gemini,success,,2026-04-03T10:18:50.993502,False,active,,,format_only,False,False,False,none,scraper_high,gemini,0.05,provisional_lender,"[""no_contact"", ""weak_rbi_validation""]",v4.0,bank_v2,v5
464,Axis Bank Limited,Private Bank,https://www.axisbank.com,,,True,AXISBANK,"[""Agriculture Loan"", ""Business Loan"", ""Credit Card"", ""Education Loan"", ""Gold Loan"", ""Home Loan"", ""Loan Against Property"", ""MSME Loan"", ""Personal Loan"", ""Rural Loan"", ""Supply Chain Finance"", ""Two Wheeler Loan"", ""Vehicle Loan"", ""Working Capital""]",Retail Banking,"[""Agriculture Loan"", ""Business Loan"", ""Credit Card"", ""Education Loan"", ""Gold Loan"", ""Home Loan"", ""Loan Against Property"", ""MSME Loan"", ""Personal Loan"", ""Rural Loan"", ""Supply Chain Finance"", ""Two Wheeler Loan"", ""Vehicle Loan"", ""Working Capital""]","Mumbai, Maharashtra",Maharashtra,"[""Andhra Pradesh"", ""Arunachal Pradesh"", ""Assam"", ""Bihar"", ""Chhattisgarh"", ""Goa"", ""Gujarat"", ""Haryana"", ""Himachal Pradesh"", ""Jharkhand"", ""Karnataka"", ""Kerala"", ""Madhya Pradesh"", ""Maharashtra"", ""Manipur"", ""Meghalaya"", ""Mizoram"", ""Nagaland"", ""Odisha"", ""Punjab"", ""Rajasthan"", ""Sikkim"", ""Tamil Nadu"", ""Telangana"", ""Tripura"", ""Uttar Pradesh"", ""Uttarakhand"", ""West Bengal"", ""Delhi"", ""Jammu & Kashmir"", ""Ladakh"", ""Puducherry"", ""Chandigarh"", ""Dadra and Nagar Haveli"", ""Lakshadweep"", ""Andaman and Nicobar Islands""]",Pan India,True,Private Bank,PORATE,1993,99000,5800,18002095577,,0.9,scraper+gemini,success,,2026-04-03T10:19:17.453608,False,active,,,format_only,False,False,True,none,scraper_high,scraper_high,0.35,provisional_lender,"[""no_contact"", ""weak_rbi_validation""]",v4.0,bank_v2,v5
465,Bandhan Bank Limited,Private Bank,https://www.bandhanbank.com,,,True,BANDHANBNK,"[""Agriculture Loan"", ""Business Loan"", ""Gold Loan"", ""Home Loan"", ""Loan Against Property"", ""MSME Loan"", ""Micro Loan"", ""Microfinance"", ""Personal Loan"", ""Rural Loan"", ""Vehicle Loan"", ""Working Capital""]",Microfinance,"[""Agriculture Loan"", ""Business Loan"", ""Gold Loan"", ""Home Loan"", ""Loan Against Property"", ""MSME Loan"", ""Micro Loan"", ""Microfinance"", ""Personal Loan"", ""Rural Loan"", ""Vehicle Loan"", ""Working Capital""]","Kolkata, West Bengal",West Bengal,"[""Andhra Pradesh"", ""Arunachal Pradesh"", ""Assam"", ""Bihar"", ""Chhattisgarh"", ""Goa"", ""Gujarat"", ""Haryana"", ""Himachal Pradesh"", ""Jharkhand"", ""Karnataka"", ""Kerala"", ""Madhya Pradesh"", ""Maharashtra"", ""Manipur"", ""Meghalaya"", ""Mizoram"", ""Nagaland"", ""Odisha"", ""Punjab"", ""Rajasthan"", ""Sikkim"", ""Tamil Nadu"", ""Telangana"", ""Tripura"", ""Uttar Pradesh"", ""Uttarakhand"", ""West Bengal"", ""Delhi"", ""Jammu & Kashmir"", ""Ladakh"", ""Puducherry"", ""Chandigarh"", ""Dadra and Nagar Haveli"", ""Lakshadweep"", ""Andaman and Nicobar Islands""]",Pan India,True,Private Bank,PORATE,2015,74584,,18002588181,,0.9,scraper+gemini,success,,2026-04-03T10:19:57.729794,False,active,,,format_only,False,False,True,none,scraper_high,gemini,0.35,provisional_lender,"[""no_contact"", ""weak_rbi_validation""]",v4.0,bank_v2,v5
466,CSB Bank Limited,Private Bank,https://www.csb.co.in/,,,True,CSBBANK,"[""Agriculture Loan"", ""Business Loan"", ""Credit Card"", ""Gold Loan"", ""Home Loan"", ""Loan Against Property"", ""MSME Loan"", ""Microfinance"", ""Personal Loan"", ""Two Wheeler Loan"", ""Vehicle Loan""]",Banking Services,"[""Agriculture Loan"", ""Business Loan"", ""Credit Card"", ""Gold Loan"", ""Home Loan"", ""Loan Against Property"", ""MSME Loan"", ""Microfinance"", ""Personal Loan"", ""Two Wheeler Loan"", ""Vehicle Loan""]","Thrissur, Kerala",Kerala,"[""Andhra Pradesh"", ""Bihar"", ""Chandigarh"", ""Chhattisgarh"", ""Delhi"", ""Goa"", ""Gujarat"", ""Haryana"", ""Himachal Pradesh"", ""Jammu & Kashmir"", ""Jharkhand"", ""Karnataka"", ""Kerala"", ""Madhya Pradesh"", ""Maharashtra"", ""Odisha"", ""Puducherry"", ""Punjab"", ""Rajasthan"", ""Tamil Nadu"", ""Telangana"", ""Uttar Pradesh"", ""Uttarakhand"", ""West Bengal""]",Pan India,True,Private Bank,RESPONDENTS,1920,6600,,18008913333,deathclaims@csb.bank.in,0.9,scraper+gemini,success,,2026-04-03T10:20:29.021491,False,active,,,format_only,False,True,True,none,scraper_high,scraper_high,0.6,provisional_lender,"[""weak_rbi_validation""]",v4.0,bank_v2,v5
467,City Union Bank Limited,Private Bank,https://www.cityunionbank.com/,,,True,CUB,"[""Agriculture Loan"", ""Credit Card"", ""Gold Loan"", ""Home Loan"", ""MSME Loan"", ""Personal Loan"", ""Vehicle Loan"", ""Working Capital""]",Loans and Advances,"[""Agriculture Loan"", ""Credit Card"", ""Gold Loan"", ""Home Loan"", ""MSME Loan"", ""Personal Loan"", ""Vehicle Loan"", ""Working Capital""]","Kumbakonam, Tamil Nadu",Tamil Nadu,"[""Andhra Pradesh"", ""Bihar"", ""Chhattisgarh"", ""Delhi"", ""Goa"", ""Gujarat"", ""Haryana"", ""Himachal Pradesh"", ""Karnataka"", ""Kerala"", ""Madhya Pradesh"", ""Maharashtra"", ""Odisha"", ""Puducherry"", ""Punjab"", ""Rajasthan"", ""Tamil Nadu"", ""Telangana"", ""Uttar Pradesh"", ""West Bengal""]",Pan India,True,Private Bank,PORATE,1904,7400,,18001205000,customercare@cityunionbank.in,0.9,scraper+gemini,success,,2026-04-03T10:20:54.436711,False,active,,,format_only,False,True,True,none,scraper_high,scraper_high,0.6,provisional_lender,"[""weak_rbi_validation""]",v4.0,bank_v2,v5
468,DCB Bank Limited,Private Bank,https://www.dcb.com,,,True,DCBBANK,"[""Home Loan"", ""Loan Against Property"", ""Business Loan"", ""Gold Loan"", ""Personal Loan"", ""Vehicle Loan"", ""Agriculture Loan"", ""MSME Loan""]",Banking Services,"[""Home Loan"", ""Loan Against Property"", ""Business Loan"", ""Gold Loan"", ""Personal Loan"", ""Vehicle Loan"", ""Agriculture Loan"", ""MSME Loan""]","Mumbai, Maharashtra",Maharashtra,"[""Andhra Pradesh"", ""Arunachal Pradesh"", ""Assam"", ""Bihar"", ""Chhattisgarh"", ""Goa"", ""Gujarat"", ""Haryana"", ""Himachal Pradesh"", ""Jharkhand"", ""Karnataka"", ""Kerala"", ""Madhya Pradesh"", ""Maharashtra"", ""Manipur"", ""Meghalaya"", ""Mizoram"", ""Nagaland"", ""Odisha"", ""Punjab"", ""Rajasthan"", ""Sikkim"", ""Tamil Nadu"", ""Telangana"", ""Tripura"", ""Uttar Pradesh"", ""Uttarakhand"", ""West Bengal"", ""Delhi"", ""Jammu & Kashmir"", ""Ladakh"", ""Puducherry"", ""Chandigarh"", ""Dadra and Nagar Haveli"", ""Lakshadweep"", ""Andaman and Nicobar Islands""]",Pan India,True,Private Bank,,1995,10000,,,,0.7,scraper+gemini,success,,2026-04-03T10:21:10.527376,False,active,,,format_only,False,False,True,none,none,gemini,0.35,provisional_lender,"[""no_contact"", ""weak_rbi_validation""]",v4.0,bank_v2,v5
469,Dhanlaxmi Bank Limited,Private Bank,https://www.dhanbank.com,,,True,DHANBANK,"[""Agriculture Loan"", ""Business Loan"", ""Credit Card"", ""Education Loan"", ""Gold Loan"", ""Home Loan"", ""Loan Against Property"", ""MSME Loan"", ""Personal Loan"", ""Vehicle Loan"", ""Working Capital""]",Banking Services,"[""Agriculture Loan"", ""Business Loan"", ""Credit Card"", ""Education Loan"", ""Gold Loan"", ""Home Loan"", ""Loan Against Property"", ""MSME Loan"", ""Personal Loan"", ""Vehicle Loan"", ""Working Capital""]","Thrissur, Kerala",Kerala,"[""Andhra Pradesh"", ""Delhi"", ""Gujarat"", ""Karnataka"", ""Kerala"", ""Madhya Pradesh"", ""Maharashtra"", ""Odisha"", ""Puducherry"", ""Punjab"", ""Rajasthan"", ""Tamil Nadu"", ""Telangana"", ""Uttar Pradesh"", ""West Bengal""]",Regional,False,Private Bank,PORATE,1927,1900,,04442413000,customercare@dhanbank.co.in,0.9,scraper+gemini,success,,2026-04-03T10:21:35.036997,False,active,,,format_only,True,True,True,none,scraper_high,gemini,0.6,provisional_lender,"[""weak_rbi_validation""]",v4.0,bank_v2,v5
470,Federal Bank Limited,Private Bank,https://www.federalbank.co.in,,,True,FEDERALBNK,"[""Agriculture Loan"", ""Business Loan"", ""Credit Card"", ""Education Loan"", ""Gold Loan"", ""Home Loan"", ""Loan Against Property"", ""MSME Loan"", ""Personal Loan"", ""Vehicle Loan""]",Banking Services,"[""Agriculture Loan"", ""Business Loan"", ""Credit Card"", ""Education Loan"", ""Gold Loan"", ""Home Loan"", ""Loan Against Property"", ""MSME Loan"", ""Personal Loan"", ""Vehicle Loan""]","Aluva, Kerala",Kerala,"[""Andhra Pradesh"", ""Arunachal Pradesh"", ""Assam"", ""Bihar"", ""Chhattisgarh"", ""Goa"", ""Gujarat"", ""Haryana"", ""Himachal Pradesh"", ""Jharkhand"", ""Karnataka"", ""Kerala"", ""Madhya Pradesh"", ""Maharashtra"", ""Manipur"", ""Meghalaya"", ""Mizoram"", ""Nagaland"", ""Odisha"", ""Punjab"", ""Rajasthan"", ""Sikkim"", ""Tamil Nadu"", ""Telangana"", ""Tripura"", ""Uttar Pradesh"", ""Uttarakhand"", ""West Bengal"", ""Delhi"", ""Jammu & Kashmir"", ""Ladakh"", ""Puducherry"", ""Chandigarh"", ""Dadra and Nagar Haveli"", ""Lakshadweep"", ""Andaman and Nicobar Islands""]",Pan India,True,Private Bank,PORATES,1931,13910,,18004251199,,0.9,scraper+gemini,success,,2026-04-03T10:22:00.381642,False,active,,,format_only,False,False,True,none,scraper_high,gemini,0.35,provisional_lender,"[""no_contact"", ""weak_rbi_validation""]",v4.0,bank_v2,v5
471,HDFC Bank Limited,Private Bank,https://www.hdfcbank.com,,,True,HDFCBANK,"[""Agriculture Loan"", ""Business Loan"", ""Consumer Durable Loan"", ""Credit Card"", ""Education Loan"", ""Gold Loan"", ""Home Loan"", ""Loan Against Property"", ""MSME Loan"", ""Personal Loan"", ""Rural Loan"", ""Vehicle Loan"", ""Working Capital""]",Banking Services,"[""Agriculture Loan"", ""Business Loan"", ""Consumer Durable Loan"", ""Credit Card"", ""Education Loan"", ""Gold Loan"", ""Home Loan"", ""Loan Against Property"", ""MSME Loan"", ""Personal Loan"", ""Rural Loan"", ""Vehicle Loan"", ""Working Capital""]","Mumbai, Maharashtra",Maharashtra,"[""Andhra Pradesh"", ""Arunachal Pradesh"", ""Assam"", ""Bihar"", ""Chhattisgarh"", ""Goa"", ""Gujarat"", ""Haryana"", ""Himachal Pradesh"", ""Jharkhand"", ""Karnataka"", ""Kerala"", ""Madhya Pradesh"", ""Maharashtra"", ""Manipur"", ""Meghalaya"", ""Mizoram"", ""Nagaland"", ""Odisha"", ""Punjab"", ""Rajasthan"", ""Sikkim"", ""Tamil Nadu"", ""Telangana"", ""Tripura"", ""Uttar Pradesh"", ""Uttarakhand"", ""West Bengal"", ""Delhi"", ""Jammu & Kashmir"", ""Ladakh"", ""Puducherry"", ""Chandigarh"", ""Dadra and Nagar Haveli"", ""Lakshadweep"", ""Andaman and Nicobar Islands""]",Pan India,True,Private Bank,PORATES,1994,177077,,707002022222,,0.9,scraper+gemini,success,,2026-04-03T10:22:22.069498,False,active,,,format_only,False,False,True,none,scraper_high,scraper_high,0.35,provisional_lender,"[""no_contact"", ""weak_rbi_validation""]",v4.0,bank_v2,v5
472,ICICI Bank Limited,Private Bank,https://www.icicibank.com/,,,True,ICICIBANK,"[""Business Loan"", ""Credit Card"", ""Education Loan"", ""Gold Loan"", ""Home Loan"", ""Loan Against Property"", ""MSME Loan"", ""Personal Loan"", ""Rural Loan"", ""Supply Chain Finance"", ""Two Wheeler Loan"", ""Vehicle Loan"", ""Working Capital""]",Banking Services,"[""Business Loan"", ""Credit Card"", ""Education Loan"", ""Gold Loan"", ""Home Loan"", ""Loan Against Property"", ""MSME Loan"", ""Personal Loan"", ""Rural Loan"", ""Supply Chain Finance"", ""Two Wheeler Loan"", ""Vehicle Loan"", ""Working Capital""]","Mumbai, Maharashtra",Maharashtra,"[""Andhra Pradesh"", ""Arunachal Pradesh"", ""Assam"", ""Bihar"", ""Chhattisgarh"", ""Goa"", ""Gujarat"", ""Haryana"", ""Himachal Pradesh"", ""Jharkhand"", ""Karnataka"", ""Kerala"", ""Madhya Pradesh"", ""Maharashtra"", ""Manipur"", ""Meghalaya"", ""Mizoram"", ""Nagaland"", ""Odisha"", ""Punjab"", ""Rajasthan"", ""Sikkim"", ""Tamil Nadu"", ""Telangana"", ""Tripura"", ""Uttar Pradesh"", ""Uttarakhand"", ""West Bengal"", ""Delhi"", ""Jammu & Kashmir"", ""Ladakh"", ""Puducherry"", ""Chandigarh"", ""Dadra and Nagar Haveli"", ""Lakshadweep"", ""Andaman and Nicobar Islands""]",Pan India,True,Private Bank,PORATE,1994,128020,,1800201080,,0.9,scraper+gemini,success,,2026-04-03T12:34:31.414536,False,active,,,format_only,False,False,True,none,scraper_high,scraper_high,0.35,provisional_lender,"[""no_contact"", ""weak_rbi_validation""]",v4.0,bank_v2,v5
473,IndusInd Bank Limited,Private Bank,https://www.indusind.com/,,,True,INDUSINDBK,"[""Agriculture Loan"", ""Business Loan"", ""Consumer Durable Loan"", ""Credit Card"", ""Education Loan"", ""Gold Loan"", ""Home Loan"", ""Loan Against Property"", ""MSME Loan"", ""Microfinance"", ""Personal Loan"", ""Supply Chain Finance"", ""Two Wheeler Loan"", ""Vehicle Loan"", ""Working Capital""]",Banking Services,"[""Agriculture Loan"", ""Business Loan"", ""Consumer Durable Loan"", ""Credit Card"", ""Education Loan"", ""Gold Loan"", ""Home Loan"", ""Loan Against Property"", ""MSME Loan"", ""Microfinance"", ""Personal Loan"", ""Supply Chain Finance"", ""Two Wheeler Loan"", ""Vehicle Loan"", ""Working Capital""]","Mumbai, Maharashtra",Maharashtra,"[""Andhra Pradesh"", ""Arunachal Pradesh"", ""Assam"", ""Bihar"", ""Chhattisgarh"", ""Goa"", ""Gujarat"", ""Haryana"", ""Himachal Pradesh"", ""Jharkhand"", ""Karnataka"", ""Kerala"", ""Madhya Pradesh"", ""Maharashtra"", ""Manipur"", ""Meghalaya"", ""Mizoram"", ""Nagaland"", ""Odisha"", ""Punjab"", ""Rajasthan"", ""Sikkim"", ""Tamil Nadu"", ""Telangana"", ""Tripura"", ""Uttar Pradesh"", ""Uttarakhand"", ""West Bengal"", ""Delhi"", ""Jammu & Kashmir"", ""Ladakh"", ""Puducherry"", ""Chandigarh"", ""Dadra and Nagar Haveli"", ""Lakshadweep"", ""Andaman and Nicobar Islands""]",Pan India,True,Private Bank,PORATE,1994,39000,,02026343201,reachus@indusind.com,0.9,scraper+gemini,success,,2026-04-03T12:34:57.515576,False,active,,,format_only,True,True,True,none,scraper_high,scraper_high,0.6,provisional_lender,"[""weak_rbi_validation""]",v4.0,bank_v2,v5
474,IDFC FIRST Bank Limited,Private Bank,https://www.idfcfirstbank.com/,,,True,IDFCFIRSTB,"[""Business Loan"", ""Consumer Durable Loan"", ""Credit Card"", ""Education Loan"", ""Gold Loan"", ""Home Loan"", ""Loan Against Property"", ""MSME Loan"", ""Microfinance"", ""Personal Loan"", ""Rural Loan"", ""Two Wheeler Loan"", ""Vehicle Loan""]",Retail Banking,"[""Business Loan"", ""Consumer Durable Loan"", ""Credit Card"", ""Education Loan"", ""Gold Loan"", ""Home Loan"", ""Loan Against Property"", ""MSME Loan"", ""Microfinance"", ""Personal Loan"", ""Rural Loan"", ""Two Wheeler Loan"", ""Vehicle Loan""]","Mumbai, Maharashtra",Maharashtra,"[""Andhra Pradesh"", ""Arunachal Pradesh"", ""Assam"", ""Bihar"", ""Chhattisgarh"", ""Goa"", ""Gujarat"", ""Haryana"", ""Himachal Pradesh"", ""Jharkhand"", ""Karnataka"", ""Kerala"", ""Madhya Pradesh"", ""Maharashtra"", ""Manipur"", ""Meghalaya"", ""Mizoram"", ""Nagaland"", ""Odisha"", ""Punjab"", ""Rajasthan"", ""Sikkim"", ""Tamil Nadu"", ""Telangana"", ""Tripura"", ""Uttar Pradesh"", ""Uttarakhand"", ""West Bengal"", ""Delhi"", ""Jammu & Kashmir"", ""Ladakh"", ""Puducherry"", ""Chandigarh"", ""Dadra and Nagar Haveli"", ""Lakshadweep"", ""Andaman and Nicobar Islands""]",Pan India,True,Private Bank,PORATE,2018,39347,,8448986445,,0.9,scraper+gemini,success,,2026-04-03T12:35:29.406730,False,active,,,format_only,True,False,True,none,scraper_high,scraper_high,0.6,provisional_lender,"[""weak_rbi_validation""]",v4.0,bank_v2,v5
475,Jammu & Kashmir Bank Limited,Private Bank,https://www.jkb.co.in,,,True,J&KBANK,"[""Home Loan"", ""Personal Loan"", ""Business Loan"", ""MSME Loan"", ""Agriculture Loan"", ""Gold Loan"", ""Loan Against Property"", ""Working Capital"", ""Vehicle Loan"", ""Education Loan""]",Credit Products,"[""Home Loan"", ""Personal Loan"", ""Business Loan"", ""MSME Loan"", ""Agriculture Loan"", ""Gold Loan"", ""Loan Against Property"", ""Working Capital"", ""Vehicle Loan"", ""Education Loan""]","Srinagar, Jammu & Kashmir",Jammu & Kashmir,"[""Jammu & Kashmir"", ""Ladakh"", ""Delhi"", ""Punjab"", ""Haryana"", ""Himachal Pradesh"", ""Uttar Pradesh"", ""Uttarakhand"", ""Rajasthan"", ""Maharashtra"", ""Gujarat"", ""Karnataka"", ""Tamil Nadu"", ""West Bengal"", ""Bihar"", ""Jharkhand"", ""Madhya Pradesh"", ""Chhattisgarh"", ""Odisha"", ""Telangana"", ""Andhra Pradesh""]",Pan India,True,Private Bank,PORATE,1938,12000,,+18557852511,manojjindal@live.com,0.9,scraper+gemini,success,,2026-04-03T12:35:49.102869,False,active,,,format_only,False,True,False,none,scraper_high,gemini,0.3,provisional_lender,"[""weak_rbi_validation"", ""email_domain_mismatch""]",v4.0,bank_v2,v5
476,Karnataka Bank Limited,Private Bank,https://www.karnatakabank.com/,,,True,KARNATAKABANK,"[""Agriculture Loan"", ""Business Loan"", ""Credit Card"", ""Education Loan"", ""Gold Loan"", ""Home Loan"", ""Loan Against Property"", ""MSME Loan"", ""Personal Loan"", ""Rural Loan"", ""Vehicle Loan"", ""Working Capital""]",Banking Services,"[""Agriculture Loan"", ""Business Loan"", ""Credit Card"", ""Education Loan"", ""Gold Loan"", ""Home Loan"", ""Loan Against Property"", ""MSME Loan"", ""Personal Loan"", ""Rural Loan"", ""Vehicle Loan"", ""Working Capital""]","Mangaluru, Karnataka",Karnataka,"[""Andhra Pradesh"", ""Arunachal Pradesh"", ""Assam"", ""Bihar"", ""Chhattisgarh"", ""Goa"", ""Gujarat"", ""Haryana"", ""Himachal Pradesh"", ""Jharkhand"", ""Karnataka"", ""Kerala"", ""Madhya Pradesh"", ""Maharashtra"", ""Manipur"", ""Meghalaya"", ""Mizoram"", ""Nagaland"", ""Odisha"", ""Punjab"", ""Rajasthan"", ""Sikkim"", ""Tamil Nadu"", ""Telangana"", ""Tripura"", ""Uttar Pradesh"", ""Uttarakhand"", ""West Bengal"", ""Delhi"", ""Jammu & Kashmir"", ""Ladakh"", ""Puducherry"", ""Chandigarh"", ""Dadra and Nagar Haveli"", ""Lakshadweep"", ""Andaman and Nicobar Islands""]",Pan India,True,Private Bank,PORATE,1924,9000,,18004251444,,0.9,scraper+gemini,success,,2026-04-03T12:36:17.455221,False,active,,,format_only,False,False,True,none,scraper_high,scraper_high,0.35,provisional_lender,"[""no_contact"", ""weak_rbi_validation""]",v4.0,bank_v2,v5
477,Karur Vysya Bank Limited,Private Bank,https://www.kvb.co.in/,,,True,KVB,"[""MSME Loan"", ""Personal Loan"", ""Home Loan"", ""Vehicle Loan"", ""Gold Loan"", ""Education Loan"", ""Loan Against Property"", ""Agriculture Loan"", ""Business Loan""]",Financial Services,"[""MSME Loan"", ""Personal Loan"", ""Home Loan"", ""Vehicle Loan"", ""Gold Loan"", ""Education Loan"", ""Loan Against Property"", ""Agriculture Loan"", ""Business Loan""]","Karur, Tamil Nadu",Tamil Nadu,"[""Andhra Pradesh"", ""Arunachal Pradesh"", ""Assam"", ""Bihar"", ""Chhattisgarh"", ""Goa"", ""Gujarat"", ""Haryana"", ""Himachal Pradesh"", ""Jharkhand"", ""Karnataka"", ""Kerala"", ""Madhya Pradesh"", ""Maharashtra"", ""Manipur"", ""Meghalaya"", ""Mizoram"", ""Nagaland"", ""Odisha"", ""Punjab"", ""Rajasthan"", ""Sikkim"", ""Tamil Nadu"", ""Telangana"", ""Tripura"", ""Uttar Pradesh"", ""Uttarakhand"", ""West Bengal"", ""Delhi"", ""Jammu & Kashmir"", ""Ladakh"", ""Puducherry"", ""Chandigarh"", ""Dadra and Nagar Haveli"", ""Lakshadweep"", ""Andaman and Nicobar Islands""]",Pan India,True,Private Bank,PORATE,1916,,,,,0.7,scraper+gemini,success,,2026-04-03T12:36:40.729313,False,active,,,format_only,False,False,False,none,none,gemini,0.05,provisional_lender,"[""no_contact"", ""weak_rbi_validation""]",v4.0,bank_v2,v5
478,Kotak Mahindra Bank Limited,Private Bank,https://www.kotak.com/,,,True,KOTAKBANK,"[""Agriculture Loan"", ""Business Loan"", ""Consumer Durable Loan"", ""Credit Card"", ""Education Loan"", ""Gold Loan"", ""Home Loan"", ""Loan Against Property"", ""MSME Loan"", ""Personal Loan"", ""Supply Chain Finance"", ""Vehicle Loan"", ""Working Capital""]",Banking Services,"[""Agriculture Loan"", ""Business Loan"", ""Consumer Durable Loan"", ""Credit Card"", ""Education Loan"", ""Gold Loan"", ""Home Loan"", ""Loan Against Property"", ""MSME Loan"", ""Personal Loan"", ""Supply Chain Finance"", ""Vehicle Loan"", ""Working Capital""]","Mumbai, Maharashtra",Maharashtra,"[""Andhra Pradesh"", ""Arunachal Pradesh"", ""Assam"", ""Bihar"", ""Chhattisgarh"", ""Goa"", ""Gujarat"", ""Haryana"", ""Himachal Pradesh"", ""Jharkhand"", ""Karnataka"", ""Kerala"", ""Madhya Pradesh"", ""Maharashtra"", ""Manipur"", ""Meghalaya"", ""Mizoram"", ""Nagaland"", ""Odisha"", ""Punjab"", ""Rajasthan"", ""Sikkim"", ""Tamil Nadu"", ""Telangana"", ""Tripura"", ""Uttar Pradesh"", ""Uttarakhand"", ""West Bengal"", ""Delhi"", ""Jammu & Kashmir"", ""Ladakh"", ""Puducherry"", ""Chandigarh"", ""Dadra and Nagar Haveli"", ""Lakshadweep"", ""Andaman and Nicobar Islands""]",Pan India,True,Private Bank,PORATE,1985,49684,,,,0.8,scraper+gemini,success,,2026-04-03T12:37:10.003530,False,active,,,format_only,False,False,True,none,none,scraper_high,0.35,provisional_lender,"[""no_contact"", ""weak_rbi_validation""]",v4.0,bank_v2,v5
479,Nainital Bank Limited,Private Bank,https://www.nainitalbank.co.in/,,,False,,"[""Home Loan"", ""Vehicle Loan"", ""Personal Loan"", ""Education Loan"", ""Loan Against Property"", ""Gold Loan"", ""Business Loan"", ""MSME Loan"", ""Agriculture Loan""]",Banking Services,"[""Home Loan"", ""Vehicle Loan"", ""Personal Loan"", ""Education Loan"", ""Loan Against Property"", ""Gold Loan"", ""Business Loan"", ""MSME Loan"", ""Agriculture Loan""]","Nainital, Uttarakhand",Uttarakhand,"[""Uttarakhand"", ""Uttar Pradesh"", ""Delhi"", ""Haryana"", ""Rajasthan""]",Regional,False,Private Bank,,1922,1499,,,,0.6,scraper+gemini,success,,2026-04-03T12:37:27.877073,False,active,,,format_only,False,False,True,none,none,gemini,0.35,provisional_lender,"[""no_contact"", ""weak_rbi_validation""]",v4.0,bank_v2,v5
